l1d_size,l1i_size,l2_size,Unrolling_Factor,Total_Memory,Cycles
32,32,512,8,576,41986213
32,32,512,16,576,41931540
32,32,512,32,576,42082181
32,32,1024,2,1088,42387372
32,32,1024,4,1088,42179994
32,32,1024,8,1088,42037279
32,32,1024,16,1088,41955611
32,32,1024,32,1088,42109505
32,64,128,2,224,42378399
32,64,128,4,224,42174319
32,64,128,8,224,42012260
32,64,128,16,224,41949258
32,64,128,32,224,42108525
32,64,256,2,352,42367136
32,64,256,4,352,42164278
32,64,256,8,352,42001378
32,64,256,16,352,41940074
32,64,256,32,352,42105232
32,64,512,2,608,42342277
32,64,512,4,608,42152406
32,64,512,8,608,41987785
32,64,512,16,608,41935370
32,64,512,32,608,42075287
32,64,1024,2,1120,42372847
32,64,1024,4,1120,42181454
32,64,1024,8,1120,42035919
32,64,1024,16,1120,41955365
32,64,1024,32,1120,42109020
64,2,128,2,194,42709850
64,2,128,4,194,42517309
64,2,128,8,194,42356329
64,2,128,16,194,47233885
64,2,128,32,194,48803767
64,2,256,2,322,42438973
64,2,256,4,322,42235460
64,2,256,8,322,42075097
64,2,256,16,322,46955841
64,2,256,32,322,48671247
64,2,512,2,578,42432188
64,2,512,4,578,42221205
64,2,512,8,578,42058353
64,2,512,16,578,46963231
64,2,512,32,578,48653945
64,2,1024,2,1090,42458154
64,2,1024,4,1090,42253168
64,2,1024,8,1090,42107925
64,2,1024,16,1090,46981418
64,2,1024,32,1090,48619104
64,4,128,2,196,42640321
64,4,128,4,196,42444108
64,4,128,8,196,42289880
64,4,128,16,196,42227649
64,4,128,32,196,46951054
64,4,256,2,324,42386072
64,4,256,4,324,42184799
64,4,256,8,324,42020089
64,4,256,16,324,41957094
64,4,256,32,324,46805512
64,4,512,2,580,42375826
64,4,512,4,580,42169796
64,4,512,8,580,42003825
64,4,512,16,580,41951823
64,4,512,32,580,46792292
64,4,1024,2,1092,42399907
64,4,1024,4,1092,42197395
64,4,1024,8,1092,42046871
64,4,1024,16,1092,41973020
64,4,1024,32,1092,46799958
64,8,128,2,200,42651407
64,8,128,4,200,42454685
64,8,128,8,200,42298706
64,8,128,16,200,42225799
64,8,128,32,200,42278591
64,8,256,2,328,42384152
64,8,256,4,328,42178488
64,8,256,8,328,42019742
64,8,256,16,328,41955112
64,8,256,32,328,42112154
64,8,512,2,584,42370512
64,8,512,4,584,42163448
64,8,512,8,584,41998921
64,8,512,16,584,41943958
64,8,512,32,584,42094202
64,8,1024,2,1096,42399692
64,8,1024,4,1096,42192908
64,8,1024,8,1096,42054657
64,8,1024,16,1096,41970949
64,8,1024,32,1096,42111034
64,16,128,2,208,42628048
64,16,128,4,208,42422768
64,16,128,8,208,42272378
64,16,128,16,208,42209115
64,16,128,32,208,42266129
64,16,256,2,336,42368411
64,16,256,4,336,42165127
64,16,256,8,336,41997062
64,16,256,16,336,41941128
64,16,256,32,336,42102553
64,16,512,2,592,42343362
64,16,512,4,592,42153793
64,16,512,8,592,41988993
64,16,512,16,592,41936624
64,16,512,32,592,42090167
64,16,1024,2,1104,42341296
64,16,1024,4,1104,42177031
64,16,1024,8,1104,42034247
64,16,1024,16,1104,41952687
64,16,1024,32,1104,42100209
64,32,128,2,224,42623053
64,32,128,4,224,42430990
64,32,128,8,224,42269795
64,32,128,16,224,42208417
64,32,128,32,224,42254518
64,32,256,2,352,42362642
64,32,256,4,352,42157281
64,32,256,8,352,41996330
64,32,256,16,352,41934295
64,32,256,32,352,42101718
64,32,512,2,608,42343078
64,32,512,4,608,42153406
64,32,512,8,608,41988437
64,32,512,16,608,41936237
64,32,512,32,608,42072819
64,32,1024,2,1120,42383733
64,32,1024,4,1120,42176836
64,32,1024,8,1120,42036622
64,32,1024,16,1120,41956115
64,32,1024,32,1120,42094764
64,64,128,2,256,42618831
64,64,128,4,256,42422665
